n_seqs = 1000
n_types = 10

          n_events    time_span   time_elapsed
count  1000.000000  1000.000000  177338.000000
mean    178.338000   493.278710       2.781574
std      20.328921     4.869058       2.897588
min     109.000000   462.747454       0.000050
25%     164.750000   490.862180       0.771746
50%     178.000000   494.433497       1.878421
75%     191.000000   496.810829       3.802839
95%     213.050000   498.777181       8.527948
99%     231.000000   499.535201      13.535247
max     250.000000   499.942538      37.537320
